name,type,lat,lng,city,region,country,visited,rating,notes,mapsUrl,photo,post
Bar do Guincho,beach,38.735803,-9.470833,Cascais,,Portugal,2026-06-12,5,"Honestly this placed surprised me. I was expecting a little run down beach bar, but it was really fantastic. The steak sandwich we had was probably the best I've ever had. Melt in your mouth beef. Great view, windy but that was expected (and hostess offered to seat us behind glass). Service was quick if a bit impersonal. In the US I wouldn't have thought twice about it. But in Portugal we've gotten used to the slower pace.",https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0xedfe25fa9230ee45,,
Tacos Al Vapor Michoacan,taco,37.574863,-122.343247,Burlingame,California,United States,2025-12-14,5,Homemade tortillas! Fantastic Al Pastor. Will be going back to try other meats Still the best al pastor around here!,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x83d6405c56308b04,,
Best Fish Taco in Ensenada,taco,34.101062,-118.28725,Los Angeles,California,United States,2025-01-04,5,This place is fantastic. Haven't seen such commitment to the Baja style fish taco anywhere else in Southern California,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x7264142b26a78d90,,
La Viga Seafood & Cocina Mexicana,taco,37.486969,-122.222888,Redwood City,California,United States,2024-08-28,5,The food is always fantastic,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0xd39ba1c57851b64b,,
"Galapos beach, São Simão, Portugal",beach,38.484478,-8.964198,Setúbal,,Portugal,2024-06-29,,,"http://maps.google.com/?q=Galapos+beach,+S%C3%A3o+Sim%C3%A3o,+Portugal&ftid=0xd1944d7d4f69733:0xcd6448731bc7131c",,
Pancho's Takos,taco,20.601954,-105.237563,Puerto Vallarta,Jalisco,Mexico,2023-07-06,5,Epic Al pastor. Also get the grilled onions. It's hot and the line annoying but worth the wait,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x5d38be3bb933ee4c,,
La Torta Gorda,taco,37.752678,-122.408729,San Francisco,California,United States,2023-05-31,5,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x8ab75bd59221c487,,
The Taco Stand,taco,33.044104,-117.293848,Encinitas,California,United States,2020-01-01,5,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x56738be51e31f070,,
The Taco Stand,taco,32.839352,-117.276819,La Jolla,California,United States,2019-12-30,5,Worth the wait!,https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x73529c9f616b883,,
Tacos Gardenias,taco,22.889609,-109.908202,Cabo San Lucas,Baja California Sur,Mexico,2019-11-27,5,"Great food! Not the best fish taco I've ever had, but solid top 5",https://www.google.com/maps/place//data=!4m2!3m1!1s0x0:0x2bb1850ffbfc8c99,,
